time,flowcount
"12/25/2022, 00:42:57",3
"12/25/2022, 00:42:59",192
"12/25/2022, 00:43:01",193
"12/25/2022, 00:43:03",193
"12/25/2022, 00:43:05",193
"12/25/2022, 00:43:07",193
"12/25/2022, 00:43:09",193
"12/25/2022, 00:43:11",193
"12/25/2022, 00:43:13",193
"12/25/2022, 00:43:15",193
"12/25/2022, 00:43:17",193
"12/25/2022, 00:43:19",193
"12/25/2022, 00:43:21",193
"12/25/2022, 00:43:23",193
"12/25/2022, 00:43:25",193
"12/25/2022, 00:43:27",193
"12/25/2022, 00:43:29",193
"12/25/2022, 00:43:31",193
time,flowcount
time,flowcount
"12/25/2022, 00:44:01",9
"12/25/2022, 00:44:03",9
"12/25/2022, 00:44:05",13
"12/25/2022, 00:44:07",13
"12/25/2022, 00:44:09",15
"12/25/2022, 00:44:11",21
"12/25/2022, 00:44:13",25
"12/25/2022, 00:44:15",27
"12/25/2022, 00:44:17",29
"12/25/2022, 00:44:19",33
"12/25/2022, 00:44:21",39
"12/25/2022, 00:44:23",41
"12/25/2022, 00:44:25",41
time,flowcount
"12/25/2022, 00:44:33",28
"12/25/2022, 00:44:35",29
"12/25/2022, 00:44:37",29
"12/25/2022, 00:44:39",29
"12/25/2022, 00:44:41",29
"12/25/2022, 00:44:43",29
"12/25/2022, 00:44:45",29
"12/25/2022, 00:44:47",29
"12/25/2022, 00:44:49",29
"12/25/2022, 00:44:51",29
"12/25/2022, 00:44:53",29
"12/25/2022, 00:44:55",29
"12/25/2022, 00:44:57",29
"12/25/2022, 00:44:59",29
"12/25/2022, 00:45:01",29
"12/25/2022, 00:45:03",29
"12/25/2022, 00:45:05",29
"12/25/2022, 00:45:07",29
time,flowcount
"12/25/2022, 01:11:45",3
"12/25/2022, 01:11:47",5
"12/25/2022, 01:11:49",9
"12/25/2022, 01:11:51",11
"12/25/2022, 01:11:53",15
"12/25/2022, 01:11:55",17
"12/25/2022, 01:11:57",23
"12/25/2022, 01:11:59",25
"12/25/2022, 01:12:01",31
"12/25/2022, 01:12:03",33
"12/25/2022, 01:12:05",35
"12/25/2022, 01:12:07",37
"12/25/2022, 01:12:09",39
"12/25/2022, 01:12:11",41
"12/25/2022, 01:12:13",43
"12/25/2022, 01:12:15",47
"12/25/2022, 01:12:17",47
"12/25/2022, 01:12:19",51
"12/25/2022, 01:12:21",51
"12/25/2022, 01:12:23",55
"12/25/2022, 01:12:25",55
"12/25/2022, 01:12:27",59
"12/25/2022, 01:12:29",59
"12/25/2022, 01:12:31",61
"12/25/2022, 01:12:33",65
"12/25/2022, 01:12:35",65
"12/25/2022, 01:12:37",67
"12/25/2022, 01:12:39",67
