time,sfe,ssip,rfip,type
"12/26/2022, 06:08:32",4,0,1.0,0
"12/26/2022, 06:08:34",4,0,1.0,0
"12/26/2022, 06:08:36",2,0,1.0,0
"12/26/2022, 06:08:38",2,0,1.0,0
"12/26/2022, 06:08:40",0,0,1.0,0
"12/26/2022, 06:08:42",0,0,1.0,0
"12/26/2022, 06:08:44",2,0,1.0,0
"12/26/2022, 06:08:46",0,0,1.0,0
"12/26/2022, 06:08:48",8,0,1.0,0
"12/26/2022, 06:08:50",0,0,1.0,0
"12/26/2022, 06:08:52",2,0,1.0,0
time,sfe,ssip,rfip,type
"12/26/2022, 06:09:27",100,99,0.020202020202020204,0
"12/26/2022, 06:09:29",191,191,0.006896551724137931,0
"12/26/2022, 06:09:31",191,191,0.004158004158004158,0
"12/26/2022, 06:09:33",190,190,0.0029806259314456036,0
"12/26/2022, 06:09:35",185,185,0.002336448598130841,0
"12/26/2022, 06:09:37",146,146,0.001996007984031936,0
"12/26/2022, 06:09:39",86,86,0.001838235294117647,0
"12/26/2022, 06:09:41",127,127,0.0016460905349794238,0
"12/26/2022, 06:09:43",127,127,0.0014903129657228018,0
"12/26/2022, 06:09:45",127,127,0.0013614703880190605,0
"12/26/2022, 06:09:47",126,126,0.0012539184952978057,0
"12/26/2022, 06:09:49",127,127,0.0011614401858304297,0
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"12/26/2022, 06:11:52",1,0,1.0,0
"12/26/2022, 06:11:54",0,0,1.0,0
"12/26/2022, 06:11:56",2,2,1.0,0
"12/26/2022, 06:11:58",0,0,1.0,0
"12/26/2022, 06:12:00",2,1,1.0,0
"12/26/2022, 06:12:02",2,1,1.0,0
"12/26/2022, 06:12:04",4,2,1.0,0
"12/26/2022, 06:12:06",4,1,1.0,0
"12/26/2022, 06:12:08",4,1,1.0,0
"12/26/2022, 06:12:10",10,2,1.0,0
"12/26/2022, 06:12:12",6,0,1.0,0
"12/26/2022, 06:12:14",0,0,1.0,0
"12/26/2022, 06:12:16",0,0,1.0,0
"12/26/2022, 06:12:18",0,0,1.0,0
"12/26/2022, 06:12:20",2,0,1.0,0
"12/26/2022, 06:12:22",4,0,1.0,0
